stock_item_name,sales_qty_6m_avg,purchase_qty_1m,closing_stock_qty,purchase_rate,sales_amount,purchase_amount,closing_stock_amount,scenario_name
HSS M35 DRILL 3 TOTEM,5,0,0,0,0,0,0,STARVE ZERO
HSS M35 DRILL 3.3 ADDISON,7,0,0,0,0,0,0,STARVE ZERO
HSS M35 DRILL 3.3 TOTEM,3,0,0,0,0,0,0,STARVE ZERO
HSS M35 DRILL 3.4 TOTEM,3,0,0,0,0,0,0,STARVE ZERO
HSS M35 DRILL 3.5 ADDISON,7,0,0,0,0,0,0,STARVE ZERO
HSS M35 DRILL 3.5 TOTEM,5,0,0,0,0,0,0,STARVE ZERO
"HSS M35 DRILL 3/32"" (2.38) TOTEM",2,0,0,0,0,0,0,STARVE ZERO
HSS M35 DRILL 4 TOTEM,7,0,0,0,0,0,0,STARVE ZERO
HSS M35 DRILL 4.2 ADDISON,10,0,0,0,0,0,0,STARVE ZERO
HSS M35 DRILL 5 TOTEM,5,0,0,0,0,0,0,STARVE ZERO
HSS M35 DRILL 5.1 ADDISON,3,0,3,0,0,0,0,STARVE WATCH
HSS M35 DRILL 5.2 ADDISON,3,0,2,0,0,0,0,STARVE CRITICAL
HSS M35 DRILL 5.3 ADDISON,2,0,1,0,0,0,0,STARVE CRITICAL
HSS M35 DRILL 6.8 ADDISON,3,0,2,0,0,0,0,STARVE WATCH
HSS M35 DRILL 7 TOTEM,2,0,0,0,0,0,0,STARVE ZERO
HSS M35 DRILL 7.4 ADDISON,37,0,30,0,0,0,0,STARVE WATCH
HSS M35 DRILL 8.5 TOTEM,2,0,0,0,0,0,0,STARVE ZERO
HSS M35 DRILL 9 ADDISON,8,0,0,0,0,0,0,STARVE ZERO
HSS M35 DRILL 9.5 TOTEM,2,0,0,0,0,0,0,STARVE ZERO
HSS M35 DRILL 9.9 ADDISON,0,0,0,0,0,0,0,STARVE ZERO
HSS M35 T/S DRILL 15 ADDISON,1,0,0,0,0,0,0,STARVE ZERO
HSS M35 T/S DRILL 22 ADDISON,1,0,0,0,0,0,0,STARVE ZERO
HSS M35 T/S DRILL 25 ADDISON,0,0,0,0,0,0,0,STARVE ZERO
HSS M42 DRILL 3 ADDISON,1,0,0,0,0,0,0,STARVE ZERO
HSS M42 DRILL 3.3 ADDISON,1,0,0,0,0,0,0,STARVE ZERO
HSS M42 DRILL 7 ADDISON,1,0,0,0,0,0,0,STARVE ZERO
HSS M42 LONG DRILL 12 YG,0,0,1,0,0,0,0,STARVE ZERO
HSS PANTHER DRILL 4.2 IT,2,0,0,0,0,0,0,STARVE ZERO
HSS POWERSAW BLADE 16 X 1-1/4 MIRANDA,3,0,0,0,0,0,0,STARVE ZERO
HSS ROUND DIE 1-1/16 X 14 UNF PECO,0,0,0,0,0,0,0,STARVE ZERO
"HSS ROUND DIE 1-1/2"" BSW TOTEM",0,0,0,0,0,0,0,STARVE ZERO
"HSS ROUND DIE 1-1/4"" BSP OD3"" TOTEM",0,0,0,0,0,0,0,STARVE ZERO
"HSS ROUND DIE 1-7/16"" X 12 UNF PECO",0,0,0,0,0,0,0,STARVE ZERO
"HSS ROUND DIE 1"" X 14 UN PECO",0,0,0,0,0,0,0,STARVE ZERO
"HSS ROUND DIE 1/4"" BSF TOTEM",1,0,0,0,0,0,0,STARVE ZERO
HSS ROUND DIE 13/16 X 16 UNF PECO,0,0,0,0,0,0,0,STARVE ZERO
HSS ROUND DIE 18 X 2 TOTEM,2,0,0,0,0,0,0,STARVE ZERO
HSS ROUND DIE 2.6 X .45 TOTEM,1,0,0,0,0,0,0,STARVE ZERO
HSS ROUND DIE 24 X 1.25 PECO,0,0,0,0,0,0,0,STARVE ZERO
HSS ROUND DIE 26 X 1.5 TOTEM,0,0,0,0,0,0,0,STARVE ZERO
"HSS ROUND DIE 3/8"" BSF TOTEM",1,0,0,0,0,0,0,STARVE ZERO
"HSS ROUND DIE 30 X 3.5 OD 2-1/4"" TOTEM",1,0,0,0,0,0,0,STARVE ZERO
HSS ROUND DIE 36 X 4 TOTEM,1,0,0,0,0,0,0,STARVE ZERO
HSS ROUND DIE 4 X .5 TOTEM,1,0,4,0,0,0,0,STARVE ZERO
"HSS ROUND DIE 6 X .75 OD 1"" TOTEM",0,0,0,0,0,0,0,STARVE ZERO
"HSS ROUND DIE 7/16"" UNC TOTEM",2,0,0,0,0,0,0,STARVE ZERO
"HSS ROUND DIE 9/16"" BSB",1,0,0,0,0,0,0,STARVE ZERO
"HSS ROUND DIE 9/16"" BSW OD 1-1/2"" TOTEM",1,0,0,0,0,0,0,STARVE ZERO
HSS ROUND TOOLBIT 1/2 X 6 T42 ADDISON,20,0,0,0,0,0,0,STARVE ZERO
HSS SLOTTING CUTTER 4 X 3/16 X 1,1,0,0,0,0,0,0,STARVE ZERO
"HSS SLOTTING CUTTER 6"" X 1/32",1,0,0,0,0,0,0,STARVE ZERO
HSS STI TAP 10 X 1.5 SET ET,1,0,0,0,0,0,0,STARVE ZERO
HSS STI TAP 12 X 1.75 BOT ET,9,0,2,0,0,0,0,STARVE CRITICAL
HSS STI TAP 12 X 1.75 SET ET,1,0,0,0,0,0,0,STARVE ZERO
HSS STI TAP 2 X .4 BOT ET,3,0,0,0,0,0,0,STARVE ZERO
HSS STI TAP 2 X .4 SET ET,1,0,0,0,0,0,0,STARVE ZERO
HSS STI TAP 2.5 X .45 BOT ET,13,0,0,0,0,0,0,STARVE ZERO
HSS STI TAP 3 X .5 SET ET,1,0,0,0,0,0,0,STARVE ZERO
HSS STI TAP 4 X .7 SET ET,1,0,0,0,0,0,0,STARVE ZERO
HSS STI TAP 5 X .8 SET ET,1,0,0,0,0,0,0,STARVE ZERO
HSS STI TAP 6 X 1 SET ET,1,0,0,0,0,0,0,STARVE ZERO
HSS STI TAP 8 X 1.25 SET ET,1,0,0,0,0,0,0,STARVE ZERO
HSS STUB DRILL 1.8 TOTEM,2,0,0,0,0,0,0,STARVE ZERO
HSS STUB DRILL 2.2 TOTEM,3,0,0,0,0,0,0,STARVE ZERO
HSS STUB DRILL 3 TOTEM,5,0,0,0,0,0,0,STARVE ZERO
HSS STUB DRILL 3.1 TOTEM,3,0,0,0,0,0,0,STARVE ZERO
"HSS STUB DRILL 3/32"" (2.38) TOTEM",8,0,0,0,0,0,0,STARVE ZERO
"HSS T/S DRILL 1/2"" (12.7) MIRANDA",1,0,0,0,0,0,0,STARVE ZERO
HSS T/S DRILL 10.5 MIRANDA,1,0,0,0,0,0,0,STARVE ZERO
HSS T/S DRILL 10.8 ADDISON,2,0,1,0,0,0,0,STARVE WATCH
HSS T/S DRILL 11.5 MIRANDA,6,0,5,0,0,0,0,STARVE WATCH
HSS T/S DRILL 13.5 IT,3,0,0,0,0,0,0,STARVE ZERO
HSS T/S DRILL 14 IT,1,0,0,0,0,0,0,STARVE ZERO
HSS T/S DRILL 14 TOTEM,7,0,2,0,0,0,0,STARVE CRITICAL
HSS T/S DRILL 14.25 MIRANDA,11,0,5,0,0,0,0,STARVE CRITICAL
HSS T/S DRILL 16 IT,1,0,0,0,0,0,0,STARVE ZERO
HSS T/S DRILL 17.25 ADDISON,8,0,0,0,0,0,0,STARVE ZERO
HSS T/S DRILL 18 ADDISON,6,0,1,0,0,0,0,STARVE CRITICAL
HSS T/S DRILL 18 TOTEM,4,0,0,0,0,0,0,STARVE ZERO
HSS T/S DRILL 20 ADDISON,8,0,6,0,0,0,0,STARVE WATCH
HSS T/S DRILL 22 MIRANDA,2,0,1,0,0,0,0,STARVE CRITICAL
HSS T/S DRILL 22.5 ADDISON,2,0,1,0,0,0,0,STARVE CRITICAL
HSS T/S DRILL 24 ADDISON,4,0,0,0,0,0,0,STARVE ZERO
HSS T/S DRILL 26.25 MIRANDA,0,0,1,0,0,0,0,STARVE ZERO
HSS T/S DRILL 26.5 ADDISON,1,0,0,0,0,0,0,STARVE ZERO
HSS T/S DRILL 27 TOTEM,0,0,0,0,0,0,0,STARVE ZERO
HSS T/S DRILL 29.5 ADDISON,1,0,0,0,0,0,0,STARVE ZERO
HSS T/S DRILL 30.25 IT,7,0,0,0,0,0,0,STARVE ZERO
HSS T/S DRILL 30.5 MIRANDA,0,0,0,0,0,0,0,STARVE ZERO
HSS T/S DRILL 30.50 ADDISON,0,0,0,0,0,0,0,STARVE ZERO
HSS T/S DRILL 34.5 MIRANDA,0,0,0,0,0,0,0,STARVE ZERO
HSS T/S DRILL 39.5 ADDISON,0,0,0,0,0,0,0,STARVE ZERO
HSS T/S DRILL 46 MIRANDA,0,0,0,0,0,0,0,STARVE ZERO
HSS T/S DRILL 5.50 ADDISON,0,0,0,0,0,0,0,STARVE ZERO
"HSS T/S DRILL 5/8"" (15.87) IT",0,0,0,0,0,0,0,STARVE ZERO
HSS T/S DRILL 8 ADDISON,1,0,1,0,0,0,0,STARVE WATCH
HSS T/S DRILL 8.5 IT,0,0,0,0,0,0,0,STARVE ZERO
HSS T/S DRILL 8.7 ADDISON,2,0,0,0,0,0,0,STARVE ZERO
HSS T/S EXTRA LONG DRILL 10 X 234 X 315 ADDISON,0,0,0,0,0,0,0,STARVE ZERO
HSS T/S EXTRA LONG DRILL 10.2 X 350 IT,0,0,0,0,0,0,0,STARVE ZERO
HSS T/S EXTRA LONG DRILL 11 X 219 X 300 ADDISON,0,0,0,0,0,0,0,STARVE ZERO
HSS T/S EXTRA LONG DRILL 11.5 X 169 X 250 ADDISON,0,0,0,0,0,0,0,STARVE ZERO
HSS T/S EXTRA LONG DRILL 11.5 X 550 IT,0,0,0,0,0,0,0,STARVE ZERO
HSS T/S EXTRA LONG DRILL 14.5 X 202 X 300 ADDISON,0,0,0,0,0,0,0,STARVE ZERO
HSS T/S EXTRA LONG DRILL 15 X 202 X 300 ADDISON,0,0,0,0,0,0,0,STARVE ZERO
HSS T/S EXTRA LONG DRILL 15 X 700 IT,0,0,0,0,0,0,0,STARVE ZERO
HSS T/S EXTRA LONG DRILL 15.5 X 202 X 300 ADDISON,0,0,0,0,0,0,0,STARVE ZERO
HSS T/S EXTRA LONG DRILL 16 X 152 X 250 ADDISON,0,0,0,0,0,0,0,STARVE ZERO
HSS T/S EXTRA LONG DRILL 16 X 202 X 300 ADDISON,0,0,0,0,0,0,0,STARVE ZERO
HSS T/S EXTRA LONG DRILL 16 X 252 X 350 ADDISON,0,0,0,0,0,0,0,STARVE ZERO
HSS T/S EXTRA LONG DRILL 16 X 302 X 400 ADDISON,0,0,0,0,0,0,0,STARVE ZERO
HSS T/S EXTRA LONG DRILL 17 X 152 X 250 ADDISON,0,0,0,0,0,0,0,STARVE ZERO
HSS T/S EXTRA LONG DRILL 18 X 152 X 250 ADDISON,0,0,0,0,0,0,0,STARVE ZERO
HSS T/S EXTRA LONG DRILL 18 X 202 X 300 ADDISON,0,0,0,0,0,0,0,STARVE ZERO
HSS T/S EXTRA LONG DRILL 18 X 700 IT,0,0,0,0,0,0,0,STARVE ZERO
HSS T/S EXTRA LONG DRILL 21 X 302 X 400 ADDISON,0,0,0,0,0,0,0,STARVE ZERO
HSS T/S EXTRA LONG DRILL 22 X 202 X 300 ADDISON,0,0,0,0,0,0,0,STARVE ZERO
HSS T/S EXTRA LONG DRILL 23 X 250 X 350 IT,0,0,0,0,0,0,0,STARVE ZERO
HSS T/S EXTRA LONG DRILL 25 X 275 X 400 IT,0,0,0,0,0,0,0,STARVE ZERO
HSS T/S EXTRA LONG DRILL 25 X 279 X 400 ADDISON,0,0,0,0,0,0,0,STARVE ZERO
HSS T/S EXTRA LONG DRILL 27 X 279 X 400 ADDISON,0,0,0,0,0,0,0,STARVE ZERO
HSS T/S EXTRA LONG DRILL 33 X 700 IT,0,0,0,0,0,0,0,STARVE ZERO
HSS T/S EXTRA LONG DRILL 8.5 X 400 IT,1,0,0,0,0,0,0,STARVE ZERO
HSS T/S EXTRA LONG DRILL 8.7 x 500 IT,0,0,0,0,0,0,0,STARVE ZERO
HSS T/S LONG DRILL 14.25 IT,1,0,0,0,0,0,0,STARVE ZERO
HSS T/S PANTHER DRILL 16.75 IT,1,0,0,0,0,0,0,STARVE ZERO
HSS T/S PANTHER DRILL 17.25 IT,2,0,0,0,0,0,0,STARVE ZERO
HSS T/S PANTHER DRILL 18.25 IT,2,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1-1/4"" NPT BOT ET",0,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1-1/4"" NPT BOT TOTEM",0,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1-1/4"" NPT TPR ET",0,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1-1/4"" UNC TPR TOTEM",0,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1-1/8"" BSW SET TOTEM",0,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1-7/16"" X 12 UNS PECO",1,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1"" BSP BOT ET",22,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1"" BSPT BOT ET",2,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1"" NPT BOT TOTEM",0,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1"" UNC SET ET",1,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1"" UNC SPFL ET",0,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1"" UNC SPFL TIN ET",0,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/2"" BSP BOT ET",3,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/2"" BSP PAIR ET",1,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/2"" BSP PAIR TIN ET",1,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/2"" BSP TPR ET",3,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/2"" BSPT BOT ET",1,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/2"" BSPT BOT TIN ET",2,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/2"" BSW BOT ET",9,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/2"" BSW SEC ET",27,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/2"" BSW SET ET",2,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/2"" BSW SET TIN ET",2,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/2"" BSW SPFL TIN ET",2,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/2"" BSW TPR ET",4,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/2"" NPS BOT ET",0,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/2"" NPSF BOT ET",1,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/2"" NPTF BOT ET",3,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/2"" NPTF TPR ET",3,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/2"" UNC BOT TIN ET",3,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/2"" UNC SEC YG",3,0,2,0,0,0,0,STARVE WATCH
"HSS TAP 1/2"" UNC SPFL TIN ET",13,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/2"" UNC TPR YG",2,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/2"" UNF BOT TIN ET",5,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/2"" UNF SEC TOTEM",4,0,2,0,0,0,0,STARVE WATCH
"HSS TAP 1/4"" BSF BOT TOTEM",1,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/4"" BSP BOT ET",15,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/4"" BSP PAIR ET",3,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/4"" BSP PAIR TIN ET",1,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/4"" BSP TPR ET",3,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/4"" BSPT PAIR ET",1,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/4"" BSW BOT ET",60,0,5,0,0,0,0,STARVE CRITICAL
"HSS TAP 1/4"" BSW SEC ET",27,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/4"" BSW SPFL ET",3,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/4"" BSW SPFL TIN ET",2,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/4"" BSW TPR ET",25,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/4"" NPT BOT ET",7,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/4"" NPT BOT TIN ET",3,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/4"" NPTF BOT TIN ET",1,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/4"" UNC SPFL ET",3,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/4"" UNC SPFL TIN ET",38,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/4"" UNC SPPT TIN ET",33,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/4"" UNF BOT TIN ET",9,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/4"" UNF SET ET",1,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/4"" UNF SPFL TIN ET",67,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/8"" BSP BOT ET",10,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/8"" BSP BOT TIN ET",3,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/8"" BSP PAIR TIN ET",1,0,5,0,0,0,0,STARVE ZERO
"HSS TAP 1/8"" BSP TPR ET",5,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/8"" BSPT BOT TOTEM",3,0,2,0,0,0,0,STARVE WATCH
"HSS TAP 1/8"" BSW TPR ET",25,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/8"" NPSF BOT ET",17,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/8"" NPSF BOT TIN ET",33,0,7,0,0,0,0,STARVE CRITICAL
"HSS TAP 1/8"" NPSM BOT ET",2,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/8"" NPT BOT ET",5,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/8"" NPT BOT TIN ET",3,0,0,0,0,0,0,STARVE ZERO
"HSS TAP 1/8"" NPTF BOT TIN ET",9,0,0,0,0,0,0,STARVE ZERO
HSS TAP 10 X .75 6G SPPT ET,5,0,5,0,0,0,0,STARVE WATCH
HSS TAP 10 X .75 PAIR TOTEM,0,0,0,0,0,0,0,STARVE ZERO
HSS TAP 10 X 1 BOT TIN ET,3,0,0,0,0,0,0,STARVE ZERO
HSS TAP 10 X 1 SPFL TIN ET,6,0,5,0,0,0,0,STARVE WATCH
HSS TAP 10 X 1 SPPT TIN ET,40,0,5,0,0,0,0,STARVE CRITICAL
HSS TAP 10 X 1.25 BOT TIN ET,8,0,0,0,0,0,0,STARVE ZERO
HSS TAP 10 X 1.25 SPPT TIN ET,5,0,0,0,0,0,0,STARVE ZERO
HSS TAP 10 X 1.5 6G SPFL TIN ET,14,0,5,0,0,0,0,STARVE CRITICAL
HSS TAP 10 X 1.5 BOT ET,18,0,0,0,0,0,0,STARVE ZERO
HSS TAP 10 X 1.5 BOT TIN ET,83,0,0,0,0,0,0,STARVE ZERO
HSS TAP 10 X 1.5 SEC ET,33,0,0,0,0,0,0,STARVE ZERO
HSS TAP 10 X 1.5 SEC TIN ET,7,0,0,0,0,0,0,STARVE ZERO
HSS TAP 10 X 1.5 SET TIN ET,5,0,0,0,0,0,0,STARVE ZERO
HSS TAP 10 X 1.5 SPFL ET,39,0,7,0,0,0,0,STARVE CRITICAL
HSS TAP 10 X 1.5 SPPT GOLD TOTEM,1,0,0,0,0,0,0,STARVE ZERO
HSS TAP 10 X 1.5 SPPT TIN ET,67,0,20,0,0,0,0,STARVE CRITICAL
HSS TAP 10 X 1.5 TPR ET,7,0,0,0,0,0,0,STARVE ZERO
HSS TAP 10 X 1.5 TPR TIN ET,4,0,0,0,0,0,0,STARVE ZERO
HSS TAP 10-24 UNC BOT ET,17,0,0,0,0,0,0,STARVE ZERO
HSS TAP 10-24 UNC SPFL TIN ET,17,0,0,0,0,0,0,STARVE ZERO
HSS TAP 10-32 UNF SPFL TIN ET,15,0,0,0,0,0,0,STARVE ZERO
HSS TAP 12 X  1.25 BOT TOTEM,20,0,12,0,0,0,0,STARVE WATCH
HSS TAP 12 X 1 BOT ET,2,0,0,0,0,0,0,STARVE ZERO
HSS TAP 12 X 1 BOT YG,0,0,0,0,0,0,0,STARVE ZERO
HSS TAP 12 X 1.25 BOT ET,10,0,0,0,0,0,0,STARVE ZERO
HSS TAP 12 X 1.25 SPFL TIN ET,34,0,0,0,0,0,0,STARVE ZERO
HSS TAP 12 X 1.25 SPPT TIN ET,9,0,1,0,0,0,0,STARVE CRITICAL
HSS TAP 12 X 1.5 BOT TIN ET,7,0,0,0,0,0,0,STARVE ZERO
HSS TAP 12 X 1.75 6G SPFL TIN ET,8,0,0,0,0,0,0,STARVE ZERO
HSS TAP 12 X 1.75 6G SPPT ET,3,0,1,0,0,0,0,STARVE CRITICAL
HSS TAP 12 X 1.75 BOT ET,42,0,0,0,0,0,0,STARVE ZERO
HSS TAP 12 X 1.75 BOT TIN ET,33,0,0,0,0,0,0,STARVE ZERO
HSS TAP 12 X 1.75 SEC ET,26,0,0,0,0,0,0,STARVE ZERO
HSS TAP 12 X 1.75 SEC MIRANDA,3,0,5,0,0,0,0,STARVE ZERO
HSS TAP 12 X 1.75 SET ET,4,0,0,0,0,0,0,STARVE ZERO
HSS TAP 12 X 1.75 SET TIN ET,5,0,0,0,0,0,0,STARVE ZERO
HSS TAP 12 X 1.75 SPFL ET,118,0,0,0,0,0,0,STARVE ZERO
HSS TAP 12 X 1.75 SPFL TIN ET,102,0,3,0,0,0,0,STARVE CRITICAL
HSS TAP 12 X 1.75 SPPT ET,17,0,1,0,0,0,0,STARVE CRITICAL
HSS TAP 12 X 1.75 SPPT GOLD TOTEM,1,0,0,0,0,0,0,STARVE ZERO
HSS TAP 12 X 1.75 SPPT TIN ET,26,0,0,0,0,0,0,STARVE ZERO
HSS TAP 12 X 1.75 TPR ET,7,0,0,0,0,0,0,STARVE ZERO
HSS TAP 14 X 1 BOT TOTEM,20,0,15,0,0,0,0,STARVE WATCH
HSS TAP 14 X 1.5 BOT TIN ET,10,0,0,0,0,0,0,STARVE ZERO
HSS TAP 14 X 1.5 SPFL TIN ET,7,0,1,0,0,0,0,STARVE CRITICAL
HSS TAP 14 X 2 BOT ET,7,0,0,0,0,0,0,STARVE ZERO
HSS TAP 14 X 2 BOT TIN ET,3,0,0,0,0,0,0,STARVE ZERO
HSS TAP 14 X 2 SET ET,1,0,0,0,0,0,0,STARVE ZERO
HSS TAP 14 X 2 SPFL ET,1,0,0,0,0,0,0,STARVE ZERO
HSS TAP 14 X 2 SPFL TIN ET,2,0,0,0,0,0,0,STARVE ZERO
HSS TAP 16 X 1.5 6G BOT YG,0,0,0,0,0,0,0,STARVE ZERO
HSS TAP 16 X 1.5 BOT TIN ET,6,0,3,0,0,0,0,STARVE WATCH
HSS TAP 16 X 1.5 PAIR MIRANDA,0,0,0,0,0,0,0,STARVE ZERO
HSS TAP 16 X 1.5 SEC TOTEM,2,0,0,0,0,0,0,STARVE ZERO
HSS TAP 16 X 1.5 SPFL ET,1,0,0,0,0,0,0,STARVE ZERO
HSS TAP 16 X 2 6G SPFL TIN ET,2,0,0,0,0,0,0,STARVE ZERO
HSS TAP 16 X 2 BOT ET,28,0,0,0,0,0,0,STARVE ZERO
HSS TAP 16 X 2 BOT TIN ET,13,0,0,0,0,0,0,STARVE ZERO
HSS TAP 16 X 2 SEC ET,1,0,0,0,0,0,0,STARVE ZERO
HSS TAP 16 X 2 SEC TIN ET,8,0,0,0,0,0,0,STARVE ZERO
HSS TAP 16 X 2 SPFL ET,25,0,0,0,0,0,0,STARVE ZERO
HSS TAP 16 X 2 SPFL TIN ET,34,0,0,0,0,0,0,STARVE ZERO
HSS TAP 16 X 2 SPPT TIN ET,25,0,5,0,0,0,0,STARVE CRITICAL
HSS TAP 16 X 2 TPR ET,1,0,0,0,0,0,0,STARVE ZERO
HSS TAP 18 X 1.5 BOT TOTEM,2,0,0,0,0,0,0,STARVE ZERO
HSS TAP 18 X 1.5 SPFL TIN ET,1,0,0,0,0,0,0,STARVE ZERO
HSS TAP 18 X 1.5 SPPT TIN ET,5,0,0,0,0,0,0,STARVE ZERO
HSS TAP 18 X 2.5 SPFL ET,1,0,0,0,0,0,0,STARVE ZERO
HSS TAP 18 X 2.5 SPFL TIN ET,2,0,0,0,0,0,0,STARVE ZERO
HSS TAP 2 X .4 SEC ET,3,0,0,0,0,0,0,STARVE ZERO
HSS TAP 2.3 X .4 SPPT TIN ET,7,0,0,0,0,0,0,STARVE ZERO
HSS TAP 2.5 X .45 SET YG,0,0,0,0,0,0,0,STARVE ZERO
HSS TAP 2.5 X .45 SPPT ET,3,0,0,0,0,0,0,STARVE ZERO
HSS TAP 2.5 X .45 SPPT TIN ET,33,0,0,0,0,0,0,STARVE ZERO
HSS TAP 20 X 1.5 BOT ET,5,0,0,0,0,0,0,STARVE ZERO
HSS TAP 20 X 1.5 BOT TIN ET,3,0,0,0,0,0,0,STARVE ZERO
HSS TAP 20 X 1.5 SPFL ET,1,0,0,0,0,0,0,STARVE ZERO
HSS TAP 20 X 1.5 SPFL TIN ET,1,0,0,0,0,0,0,STARVE ZERO
HSS TAP 20 X 2.5 BOT ET,18,0,1,0,0,0,0,STARVE CRITICAL
HSS TAP 20 X 2.5 BOT MIRANDA,0,0,2,0,0,0,0,STARVE ZERO
HSS TAP 20 X 2.5 BOT TIN ET,3,0,0,0,0,0,0,STARVE ZERO
HSS TAP 20 X 2.5 SEC YG,3,0,0,0,0,0,0,STARVE ZERO
HSS TAP 20 X 2.5 SET ET,1,0,0,0,0,0,0,STARVE ZERO
HSS TAP 20 X 2.5 SPFL ET,2,0,1,0,0,0,0,STARVE WATCH
HSS TAP 20 X 2.5 SPFL TIN ET,19,0,0,0,0,0,0,STARVE ZERO
HSS TAP 20 X 2.5 SPFL YG,4,0,1,0,0,0,0,STARVE CRITICAL
HSS TAP 20 X 2.5 SPPT TIN ET,3,0,0,0,0,0,0,STARVE ZERO
HSS TAP 21 X 1 BOT NEBSON,0,0,1,0,0,0,0,STARVE ZERO
HSS TAP 22 X 1.5 6G BOT ET,0,0,0,0,0,0,0,STARVE ZERO
HSS TAP 22 X 1.5 BOT ET,4,0,1,0,0,0,0,STARVE CRITICAL
HSS TAP 22 X 1.5 BOT NEBSON,1,0,0,0,0,0,0,STARVE ZERO
HSS TAP 24 X 1.5 BOT ET,1,0,0,0,0,0,0,STARVE ZERO
HSS TAP 24 X 1.5 BOT TIN ET,1,0,0,0,0,0,0,STARVE ZERO
HSS TAP 24 X 1.5 BOT TOTEM,1,0,0,0,0,0,0,STARVE ZERO
HSS TAP 24 X 2 PAIR TOTEM,1,0,1,0,0,0,0,STARVE WATCH
HSS TAP 24 X 3 BOT ET,1,0,0,0,0,0,0,STARVE ZERO
HSS TAP 24 X 3 SET ET,0,0,0,0,0,0,0,STARVE ZERO
HSS TAP 25 X 1 BOT TOTEM,0,0,0,0,0,0,0,STARVE ZERO
HSS TAP 27 X 3 BOT TOTEM,7,0,0,0,0,0,0,STARVE ZERO
HSS TAP 27 X 3 SET ET,1,0,0,0,0,0,0,STARVE ZERO
HSS TAP 2BA SEC TOTEM,7,0,1,0,0,0,0,STARVE CRITICAL
HSS TAP 3 X .5 6G BOT ET,5,0,0,0,0,0,0,STARVE ZERO
HSS TAP 3 X .5 BOT ET,44,0,8,0,0,0,0,STARVE CRITICAL
