stock_item_name,sales_qty_6m_avg,purchase_qty_1m,closing_stock_qty,purchase_rate,sales_amount,purchase_amount,closing_stock_amount,scenario_name
ALLEN BOLT 8 X 75 MFL,50,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 8 X 80 MFL,62,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 8 X 90 MFL,42,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 8 X 90 UNBRAKO,6,0,20,0,0,0,0,STARVE ZERO
ALLEN CSK 10 X 16 MFL,"1,200",0,0,0,0,0,0,STARVE ZERO
ALLEN CSK 10 X 20 MFL,267,0,0,0,0,0,0,STARVE ZERO
ALLEN KEY  8 TAPARIA,1,0,1,0,0,0,0,STARVE ZERO
ALLEN KEY 12 TAPARIA,3,0,2,0,0,0,0,STARVE WATCH
ALLEN KEY 19 TAPARIA,0,0,0,0,0,0,0,STARVE ZERO
ALLEN KEY 2.5 TAPARIA,2,0,1,0,0,0,0,STARVE CRITICAL
ALLEN KEY 22 TAPARIA,0,0,0,0,0,0,0,STARVE ZERO
ALLEN KEY 27 TAPARIA,0,0,1,0,0,0,0,STARVE ZERO
ALLEN KEY 4 TAPARIA,8,0,14,0,0,0,0,STARVE ZERO
ALLEN KEY 5 TAPARIA,13,0,20,0,0,0,0,STARVE ZERO
ALLEN KEY 6 TAPARIA,8,0,4,0,0,0,0,STARVE WATCH
"ALLEN KEY 7/32"" TAPARIA",0,0,0,0,0,0,0,STARVE ZERO
ALLEN KEY EXTRA LONG 12 STANLEY,0,0,0,0,0,0,0,STARVE ZERO
ALLEN KEY LONG 10 mm,0,0,0,0,0,0,0,STARVE ZERO
ALLEN KEY LONG 5 mm,0,0,0,0,0,0,0,STARVE ZERO
ALLEN KEY LONG 6 mm,2,0,0,0,0,0,0,STARVE ZERO
ALLEN KEY LONG 8 mm,0,0,0,0,0,0,0,STARVE ZERO
ALLEN KEY SET LONG MM SIZE MULTITEC,0,0,0,0,0,0,0,STARVE ZERO
ALLEN KEY SET MM SIZE MULTITEC,0,0,0,0,0,0,0,STARVE ZERO
ANCHOR BOLT 10 X 150,7,0,0,0,0,0,0,STARVE ZERO
ANCHOR BOLT 10 X 80,17,0,0,0,0,0,0,STARVE ZERO
ANCHOR BOLT 8 X 75,25,0,0,0,0,0,0,STARVE ZERO
"ANGLE GRINDER 4"" 600 W (G10SS2S8Z) HIKOKI",2,0,0,0,0,0,0,STARVE ZERO
"ANGLE GRINDER 4"" 700 W (G10MGAS9Z) HIKOKI",3,0,0,0,0,0,0,STARVE ZERO
ANGLE GRINDER GWS-600,1,0,0,0,0,0,0,STARVE ZERO
APKT 160408 PDTR YG602,13,0,0,0,0,0,0,STARVE ZERO
APMT 113508 PDTR YG602,8,0,0,0,0,0,0,STARVE ZERO
APMT 16 CUTTER BODY DIA 25,0,0,0,0,0,0,0,STARVE ZERO
ARALDITE (180 Gm) KLEAR 5,3,0,0,0,0,0,0,STARVE ZERO
ARMATURE FOR (CC14STD) HIKOKI,1,0,0,0,0,0,0,STARVE ZERO
ARMATURE GWS 2200 (1619P15749) BOSCH,4,0,0,0,0,0,0,STARVE ZERO
AXET 123504 PEFR S DL 1000,3,0,0,0,0,0,0,STARVE ZERO
AXET 123504 PEFR SH1,3,0,0,0,0,0,0,STARVE ZERO
AXET 170504 PEFR S H1,2,0,0,0,0,0,0,STARVE ZERO
AXMT 170508 PEER G ACP 200,8,0,0,0,0,0,0,STARVE ZERO
BEAR TAX MOP WHEEL 16 MM,1,0,0,0,0,0,0,STARVE ZERO
BEAR TAX MOP WHEEL 25 X 25 X 6,2,0,0,0,0,0,0,STARVE ZERO
BEARING 22311 E SKF,0,0,0,0,0,0,0,STARVE ZERO
BEARING 30205,1,0,0,0,0,0,0,STARVE ZERO
BEARING 32211 SKF,0,0,0,0,0,0,0,STARVE ZERO
BEARING 32212 SKF,0,0,0,0,0,0,0,STARVE ZERO
BEARING 6000 ZZ SKF,1,0,0,0,0,0,0,STARVE ZERO
BEARING 6001 ZZ SKF,1,0,0,0,0,0,0,STARVE ZERO
BEARING 6002 ZZ SKF,0,0,0,0,0,0,0,STARVE ZERO
BEARING 608,13,0,0,0,0,0,0,STARVE ZERO
BEARING 609,1,0,0,0,0,0,0,STARVE ZERO
BEARING 6201 ZZ SKF,4,0,0,0,0,0,0,STARVE ZERO
BEARING 6202 ZZ SKF,4,0,0,0,0,0,0,STARVE ZERO
BEARING 6205 ZZ SKF,1,0,0,0,0,0,0,STARVE ZERO
BEARING 6216 C3 SKF,0,0,0,0,0,0,0,STARVE ZERO
BEARING 6217 C3 SKF,0,0,0,0,0,0,0,STARVE ZERO
BEARING 6303 ZZ SKF,1,0,0,0,0,0,0,STARVE ZERO
BEARING E32004J,0,0,0,0,0,0,0,STARVE ZERO
BEARING E33112J,0,0,0,0,0,0,0,STARVE ZERO
BEARING HGH 25 HAC HIWIN,2,0,0,0,0,0,0,STARVE ZERO
BEARING HGH 25 HIWIN,2,0,0,0,0,0,0,STARVE ZERO
BEARING HGH 35 HIWIN,2,0,0,0,0,0,0,STARVE ZERO
BEARING NAF 203517,0,0,0,0,0,0,0,STARVE ZERO
"BEARING PULLER 12"" AJAY",0,0,0,0,0,0,0,STARVE ZERO
BEARING UCP210,1,0,0,0,0,0,0,STARVE ZERO
BFTX 0306 IP SCREW,2,0,0,0,0,0,0,STARVE ZERO
BFTX 0409 IP SCREW,3,0,0,0,0,0,0,STARVE ZERO
"BIMETAL BANDSAW 2540 X 27 X .9 4/6 ""PLUS"" BIPICO",12,0,0,0,0,0,0,STARVE ZERO
"BIMETAL BANDSAW 2540 X 27 X .9 4/6 TPI ""P"" MEBA",9,0,2,0,0,0,0,STARVE CRITICAL
"BIMETAL BANDSAW 2540 X 27 X .9 8/12 TPI ""P"" MEBA",6,0,2,0,0,0,0,STARVE CRITICAL
"BIMETAL BANDSAW 2800 X 27 X .9 4/6 TPI ""P"" MEBA",6,0,0,0,0,0,0,STARVE ZERO
"BIMETAL BANDSAW 3000 X 27 X .9 3/4 TPI ""P"" MEBA",4,0,0,0,0,0,0,STARVE ZERO
"BIMETAL BANDSAW 3000 X 27 X .9 3/4 TPI ""S"" MEBA",0,0,0,0,0,0,0,STARVE ZERO
"BIMETAL BANDSAW 3505 X 27 X .9 3/4 TPI ""S"" MEBA",1,0,0,0,0,0,0,STARVE ZERO
BIMETAL BANDSAW 3505 X 34 X 1.1 3/4 TPI MARATHON WIKUS,6,0,4,0,0,0,0,STARVE WATCH
"BIMETAL BANDSAW 3650 X 34 X 1.1 3/4 TPI ""S"" MEBA",0,0,0,0,0,0,0,STARVE ZERO
BIMETAL BANDSAW 3760 X 27 X .9 2/3 TPI SELEKTA WIKUS,0,0,0,0,0,0,0,STARVE ZERO
"BIMETAL BANDSAW 3760 X 27 X .9 4/6 TPI ""P"" MEBA",3,0,0,0,0,0,0,STARVE ZERO
"BIMETAL BANDSAW 3760 X 27 X .9 4/6 TPI ""S"" MEBA",1,0,0,0,0,0,0,STARVE ZERO
