stock_item_name,reason
HSS TAP 1 BA SPIREX GOLD TOTEM,"SPIREX: page 11 HSSE grid, not matched yet"
"HSS TAP 1-1/2"" UNC SBF2 LHRH OAL 180 TOTEM","Silver Cut grade SBF2: p12-28, not matched yet"
"HSS TAP 1-1/2"" UNC SBF2 RHLH OAL 180 TOTEM","Silver Cut grade SBF2: p12-28, not matched yet"
HSS TAP 1.7 X .35 BOT TOTEM,no cell: Metric Coarse 1.7 X 0.35 Standard
HSS TAP 1.7 X .35 SEC TOTEM,no cell: Metric Coarse 1.7 X 0.35 Standard
HSS TAP 1.7 X .35 SET TOTEM,no cell: Metric Coarse 1.7 X 0.35 Standard
"HSS TAP 1/16"" BSPT PAIR TOTEM","no cell: BSPT 1/16"" Standard"
"HSS TAP 1/16"" BSW SEC TOTEM","no cell: BSW/BSF 1/16"" Standard"
"HSS TAP 1/16"" BSW SET TOTEM","no cell: BSW/BSF 1/16"" Standard"
"HSS TAP 1/2"" NPTF PAIR TOTEM",thread NPTF not in this price list
"HSS TAP 1/4"" BOT TOTEM",size/thread not recognised
"HSS TAP 1/4"" NPTF BOT TOTEM",thread NPTF not in this price list
"HSS TAP 1/8"" NPTF BOT TOTEM",thread NPTF not in this price list
HSS TAP 10 X .5 SEC TOTEM,no cell: Metric Coarse 10 X 0.5 Standard
HSS TAP 10 X .75 BOT TOTEM,no cell: Metric Coarse 10 X 0.75 Standard
HSS TAP 10 X .75 PAIR TOTEM,no cell: Metric Coarse 10 X 0.75 Standard
HSS TAP 10 X .75 TPR TOTEM,no cell: Metric Coarse 10 X 0.75 Standard
HSS TAP 12 X .75 BOT TOTEM,no cell: Metric Coarse 12 X 0.75 Standard
HSS TAP 12 X .75 PAIR TOTEM,no cell: Metric Coarse 12 X 0.75 Standard
HSS TAP 12 X .75 SET TOTEM,no cell: Metric Coarse 12 X 0.75 Standard
HSS TAP 13 X 1 BOT TOTEM,no cell: Metric Coarse 13 X 1 Standard
HSS TAP 13 X 1 PAIR TOTEM,no cell: Metric Coarse 13 X 1 Standard
HSS TAP 13 X 1.25 BOT TOTEM,no cell: Metric Coarse 13 X 1.25 Standard
HSS TAP 13 X 1.5 BOT TOTEM,no cell: Metric Coarse 13 X 1.5 Standard
HSS TAP 13 X 1.5 PAIR TOTEM,no cell: Metric Coarse 13 X 1.5 Standard
HSS TAP 15 X 1 BOT TOTEM,no cell: Metric Coarse 15 X 1 Standard
HSS TAP 15 X 1 PAIR TOTEM,no cell: Metric Coarse 15 X 1 Standard
HSS TAP 15 X 1.5 BOT TOTEM,no cell: Metric Coarse 15 X 1.5 Standard
HSS TAP 16 X 1.25 BOT TOTEM,no cell: Metric Coarse 16 X 1.25 Standard
HSS TAP 16 X 1.25 PAIR TOTEM,no cell: Metric Coarse 16 X 1.25 Standard
HSS TAP 17 X 1 BOT TOTEM,no cell: Metric Coarse 17 X 1 Standard
HSS TAP 2.3 X .45 BOT  TOTEM,no cell: Metric Coarse 2.3 X 0.45 Standard
HSS TAP 2.5 X 45 6G BOT TOTEM,no cell: Metric Coarse 2.5 X 45 Standard
HSS TAP 2.5 X 45 BOT TOTEM,no cell: Metric Coarse 2.5 X 45 Standard
HSS TAP 24 X 1 BOT TOTEM,no cell: Metric Coarse 24 X 1 Standard
HSS TAP 24 X 1 PAIR TOTEM,no cell: Metric Coarse 24 X 1 Standard
HSS TAP 26 X 1 BOT TOTEM,no cell: Metric Coarse 26 X 1 Standard
HSS TAP 26 X 1 PAIR TOTEM,no cell: Metric Coarse 26 X 1 Standard
HSS TAP 26 X 1 TPR TOTEM,no cell: Metric Coarse 26 X 1 Standard
HSS TAP 26 X 1.5 BOT TOTEM,no cell: Metric Coarse 26 X 1.5 Standard
HSS TAP 26 X 1.5 PAIR TOTEM,no cell: Metric Coarse 26 X 1.5 Standard
HSS TAP 26 X 1.5 SEC TOTEM,no cell: Metric Coarse 26 X 1.5 Standard
HSS TAP 26 X 1.5 TPR TOTEM,no cell: Metric Coarse 26 X 1.5 Standard
HSS TAP 26 X 2 BOT TOTEM,no cell: Metric Coarse 26 X 2 Standard
HSS TAP 27 X 1 BOT TOTEM,no cell: Metric Coarse 27 X 1 Standard
HSS TAP 27 X 1 PAIR TOTEM,no cell: Metric Coarse 27 X 1 Standard
HSS TAP 28 X 1 BOT TOTEM,no cell: Metric Coarse 28 X 1 Standard
HSS TAP 28 X 1 PAIR TOTEM,no cell: Metric Coarse 28 X 1 Standard
HSS TAP 28 X 1.5 BOT TOTEM,no cell: Metric Coarse 28 X 1.5 Standard
HSS TAP 28 X 1.5 PAIR TOTEM,no cell: Metric Coarse 28 X 1.5 Standard
HSS TAP 28 X 1.5 SEC TOTEM,no cell: Metric Coarse 28 X 1.5 Standard
HSS TAP 28 X 2 BOT TOTEM,no cell: Metric Coarse 28 X 2 Standard
HSS TAP 28 X 2 PAIR TOTEM,no cell: Metric Coarse 28 X 2 Standard
HSS TAP 28 X 2 TPR TOTEM,no cell: Metric Coarse 28 X 2 Standard
HSS TAP 3 X .35 BOT TOTEM,no cell: Metric Coarse 3 X 0.35 Standard
HSS TAP 3 X .35 SEC TOTEM,no cell: Metric Coarse 3 X 0.35 Standard
