stock_item_name,list_rate,unit,brand,doc_title,effective_from,storage_path,page_no,price_per_piece,pack_qty,thread_form,size,grade,edp_code,confidence,note,updated_at
HSS TAP 8 X 1.25 SF SET TOTEM,1557.0,SET,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,519.0,3.0,Metric Coarse,8.0 X 1.25,SF/RS,,verified,,2026-08-10T11:02:26.42234+00:00
HSS TAP 8 X 1.25 SPPT GOLD TOTEM,685.0,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,9,685.0,1.0,Metric Coarse,8.0 X 1.25,SPPT GOLD,,verified,,2026-08-10T11:02:26.42234+00:00
HSS TAP 8 X 1.25 SPPT TOTEM,599.0,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,599.0,1.0,Metric Coarse,8.0 X 1.25,SPPT,,verified,,2026-08-10T11:02:26.42234+00:00
HSS TAP 8 X 1.25 TPR TOTEM,504.0,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,504.0,1.0,Metric Coarse,8.0 X 1.25,Standard,,verified,,2026-08-10T11:02:26.42234+00:00
HSS TAP 9 X 1 BOT TOTEM,737.0,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,737.0,1.0,Metric Coarse,9.0 X 1.00,Standard,,verified,,2026-08-10T11:02:26.42234+00:00
HSS TAP 9 X 1 PAIR TOTEM,1474.0,PAIR,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,737.0,2.0,Metric Coarse,9.0 X 1.00,Standard,,verified,,2026-08-10T11:02:26.42234+00:00
HSS TAP 9 X 1 SET TOTEM,2211.0,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,737.0,3.0,Metric Coarse,9.0 X 1.00,Standard,,review,,2026-08-10T16:28:57.046883+00:00
HSS TAP 9 X 1.25 6G SPPT TOTEM,747.0,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,747.0,1.0,Metric Coarse,9.0 X 1.25,SPPT,,review,invoice rate 540.00 != list 747.00,2026-08-10T16:28:57.046883+00:00
HSS TAP 9 X 1.25 BOT TOTEM,609.0,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,609.0,1.0,Metric Coarse,9.0 X 1.25,Standard,,verified,,2026-08-10T11:02:26.42234+00:00
HSS TAP 9 X 1.25 SET TOTEM,1827.0,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,609.0,3.0,Metric Coarse,9.0 X 1.25,Standard,,review,,2026-08-10T11:02:26.42234+00:00
