stock_item_name,list_rate,unit,brand,doc_title,effective_from,storage_path,page_no,price_per_piece,pack_qty,thread_form,size,grade,edp_code,confidence,note
HSS LONG TAP 16 X 1 TYPE C TOTEM,1426.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,1426.00,1,Metric Coarse,16.0 X 1.00,Standard,,review,
HSS LONG TAP 16 X 1.5 TYPE C TOTEM,1381.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,1381.00,1,Metric Coarse,16.0 X 1.50,Standard,,review,"invoice rate 1,756.00 != list 1,381.00"
HSS LONG TAP 16 X 2 TYPE C TOTEM,1378.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,1378.00,1,Metric Coarse,16.0 X 2.00,Standard,,review,"invoice rate 1,882.00 != list 1,378.00"
HSS LONG TAP 18 X 1.5 TYPE C TOTEM,2367.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,2367.00,1,Metric Coarse,18.0 X 1.50,Standard,,review,"invoice rate 2,955.00 != list 2,367.00"
HSS LONG TAP 20 X 1.5 TYPE C TOTEM,2996.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,2996.00,1,Metric Coarse,20.0 X 1.50,Standard,,review,"invoice rate 3,849.00 != list 2,996.00"
HSS LONG TAP 20 X 2.5 TYPE C TOTEM,2652.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,2652.00,1,Metric Coarse,20.0 X 2.50,Standard,,review,"invoice rate 3,396.00 != list 2,652.00"
HSS LONG TAP 22 X 1.5 TYPE C TOTEM,3264.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,3264.00,1,Metric Coarse,22.0 X 1.50,Standard,,review,
HSS LONG TAP 22 X 2.5 TYPE C TOTEM,2843.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,2843.00,1,Metric Coarse,22.0 X 2.50,Standard,,review,"invoice rate 3,799.00 != list 2,843.00"
HSS LONG TAP 24 X 1.5 TYPE C TOTEM,3573.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,3573.00,1,Metric Coarse,24.0 X 1.50,Standard,,review,"invoice rate 4,458.00 != list 3,573.00"
HSS LONG TAP 24 X 3 TYPE C TOTEM,3167.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,3167.00,1,Metric Coarse,24.0 X 3.00,Standard,,review,"invoice rate 4,123.00 != list 3,167.00"
